time,lux
168.990,183.11
169.090,185.56
169.190,130.25
169.290,162.23
169.390,219.09
169.490,192.96
169.590,185.56
169.689,179.84
169.790,154.81
169.890,165.82
169.990,196.99
170.090,163.63
170.190,175.05
170.290,175.05
170.390,192.00
170.490,192.00
170.590,199.57
170.690,187.09
170.789,194.53
170.890,187.09
170.989,187.09
171.089,182.17
171.189,216.34
171.289,196.99
171.389,182.17
171.489,184.62
171.589,211.03
171.689,185.56
171.789,168.12
171.889,175.05
171.989,193.83
172.089,127.86
172.189,147.84
172.289,183.20
172.390,146.31
172.489,179.84
172.590,187.09
172.689,195.50
172.789,172.69
172.889,156.92
172.989,189.49
173.088,182.17
173.189,227.35
173.289,194.53
173.390,175.96
173.491,144.21
173.586,199.57
173.682,175.05
173.789,192.00
173.889,187.00
173.989,172.69
174.089,179.75
174.189,168.12
174.289,160.52
174.389,208.35
174.489,169.55
